10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
48.781,10,111.684,49.388,19.95,207.254,49.117,30.04,253.811,,,,,,,,,
49.141,9.98,118.14,49.747,19.94,209.125,49.522,29.97,253.873,,,,,,,,,
49.526,10,118.285,50.151,20.05,194.095,49.922,30.07,259.037,,,,,,,,,
49.892,10.01,117.114,50.554,20.02,211.015,50.288,29.93,251.383,,,,,,,,,
50.297,10.03,116.927,50.921,20.03,200.909,50.648,29.91,252.244,,,,,,,,,
50.7,9.99,111.6,51.279,19.92,204.122,51.052,29.96,252.213,,,,,,,,,
51.066,10.01,118.107,51.653,19.91,195.912,51.455,29.94,253.811,,,,,,,,,
51.424,9.99,119.367,52.043,20.01,204.865,51.82,29.96,261.364,,,,,,,,,
51.826,10.02,119.367,52.424,20.11,197.766,52.179,29.96,252.612,,,,,,,,,
52.231,10,112.927,52.783,20.05,200.036,52.556,29.94,255.956,,,,,,,,,
52.596,10.01,116.042,53.186,20.01,205.907,52.921,30.05,255.066,,,,,,,,,
52.955,10.01,114.937,53.576,19.94,209.817,53.28,30.02,257.516,,,,,,,,,
53.33,9.98,113.64,53.954,19.89,193.075,53.686,30.02,256.627,,,,,,,,,
53.719,10,116.293,54.314,19.99,196.705,54.087,29.99,257.171,,,,,,,,,
54.1,10,114.926,54.699,20.14,205.821,54.454,29.98,253.897,,,,,,,,,
54.46,10.01,115.955,55.066,19.96,193.872,54.813,30.01,258.854,,,,,,,,,
54.865,10,120.494,55.469,19.96,193.115,55.188,30,258.249,,,,,,,,,
55.23,10,117.323,55.857,19.97,197.724,55.555,29.99,255.487,,,,,,,,,
55.589,9.97,114.937,56.238,20.04,200.615,55.913,29.94,258.028,,,,,,,,,
55.965,10.01,120.55,56.598,20.05,211.705,56.289,29.94,257.807,,,,,,,,,
56.37,10.03,117.213,57.003,19.99,205.95,56.695,30.01,254.257,,,,,,,,,
56.734,10.01,121.644,57.39,20.03,194.014,57.058,30.14,256.857,,,,,,,,,
57.093,10.02,112.536,57.771,19.94,194.871,57.418,30.11,254.226,,,,,,,,,
57.496,9.99,113.928,58.13,19.97,194.667,57.822,30,254.288,,,,,,,,,
57.9,9.98,113.907,58.516,20.08,191.632,58.224,29.92,256,,,,,,,,,
58.264,10,112.737,58.882,20.07,200.72,58.591,29.91,253.339,,,,,,,,,
58.625,9.99,113.81,59.286,20.03,197.89,58.949,29.88,255.113,,,,,,,,,
59.029,10.01,116.325,59.652,19.93,204.1,59.354,30.17,252.05,,,,,,,,,
59.432,10,115.998,60.011,19.91,208.818,59.758,29.68,252.143,,,,,,,,,
59.796,9.99,116.173,60.414,19.93,198.827,60.123,30.03,253.23,,,,,,,,,
60.155,10.02,116.14,60.817,19.99,209.773,60.482,30.09,256.673,,,,,,,,,
60.559,10.01,118.163,61.183,19.87,207.71,60.858,30.07,254.239,,,,,,,,,
60.964,9.99,117.345,61.542,20.25,198.535,61.247,30.01,253.386,,,,,,,,,
61.329,9.98,118.307,61.959,19.87,202.781,61.611,30.01,251.556,,,,,,,,,
61.689,9.99,112.779,62.349,19.96,192.61,61.993,29.97,253.604,,,,,,,,,
62.069,9.99,120.777,62.724,19.88,199.407,62.389,29.94,257.62,,,,,,,,,
62.469,10,116.086,63.127,20.39,196.602,62.755,30,251.402,,,,,,,,,
62.841,10.01,117.169,63.529,19.74,193.445,63.114,29.99,257.367,,,,,,,,,
63.246,10.03,113.907,63.897,19.7,210.419,63.489,29.99,252.919,,,,,,,,,
63.611,10.02,119.277,64.254,19.71,207.362,63.856,30.04,256.389,,,,,,,,,
63.971,10,114.872,64.659,20.06,211.677,64.214,30.03,251.124,,,,,,,,,
64.373,9.99,109.604,65.062,20.4,198.884,64.589,30.02,253.771,,,,,,,,,
64.777,9.98,116.107,65.428,20.31,199.428,64.994,29.96,257.367,,,,,,,,,
65.141,10,113.832,65.788,20.03,207.384,65.359,29.97,253.802,,,,,,,,,
65.501,10.02,115.185,66.175,19.81,197.786,65.717,29.99,254.435,,,,,,,,,
65.877,10.03,115.023,66.541,19.91,193.547,66.123,30.03,252.546,,,,,,,,,
66.245,10.02,113.661,66.944,19.76,198.452,66.525,30.01,249.872,,,,,,,,,
66.603,9.98,112.705,67.308,20.26,207.384,66.891,30,252.671,,,,,,,,,
66.99,10,119.188,67.667,20.5,195.583,67.249,29.94,251.789,,,,,,,,,
67.355,10.01,118.118,68.044,20.06,192.772,67.653,29.97,253.334,,,,,,,,,
67.759,10.16,113.8,68.409,19.88,196.849,68.057,30,256.355,,,,,,,,,
68.161,9.95,113.725,68.77,19.82,206.928,68.423,30.03,252.08,,,,,,,,,
68.528,9.93,114.894,69.129,19.76,204.779,68.781,30.05,254.752,,,,,,,,,
68.886,9.95,116.118,69.494,19.84,202.611,69.157,30,250.32,,,,,,,,,
69.29,9.97,109.265,69.896,20.3,198.598,69.524,29.93,256.418,,,,,,,,,
69.694,10.01,108.272,70.262,19.78,199.512,69.883,29.99,248.654,,,,,,,,,
70.059,10.03,103.749,70.623,19.95,190.534,70.287,29.98,250.32,,,,,,,,,
70.417,10.01,117.213,71.027,20.33,200.131,70.688,29.94,251.107,,,,,,,,,
70.822,10.01,113.778,71.429,20.28,191.451,71.055,29.95,255.223,,,,,,,,,
71.224,10,112.8,71.794,19.83,200.762,71.415,30.01,251.644,,,,,,,,,
71.613,10,116.151,72.155,19.81,205.994,71.789,30.02,248.825,,,,,,,,,
71.988,10,115.846,72.541,19.83,204.543,72.193,30.03,255.128,,,,,,,,,
72.354,10,113.842,72.905,19.87,201.423,72.559,30.07,250.611,,,,,,,,,
72.757,10.01,114.991,73.311,20.38,194.402,72.918,30.03,253.809,,,,,,,,,
73.123,10.02,108.414,73.713,20.42,204.607,73.321,29.98,253.308,,,,,,,,,
73.482,9.98,113.704,74.079,19.83,189.954,73.725,29.95,252.304,,,,,,,,,
73.886,10,110.463,74.439,19.69,197.849,74.089,30.01,248.671,,,,,,,,,
74.289,9.98,112.737,74.826,19.86,206.625,74.449,29.99,252.211,,,,,,,,,
74.653,10,116.064,75.19,20.13,201.549,74.854,29.98,252.055,,,,,,,,,
75.012,10.02,110.66,75.595,19.92,200.446,75.256,29.96,254.498,,,,,,,,,
75.389,10.01,112.642,75.982,19.91,205.627,75.622,30,253.558,,,,,,,,,
75.754,10.03,107.025,76.363,19.77,206.517,75.98,30,254.245,,,,,,,,,
76.114,10.01,114.915,76.725,20.26,204.092,76.384,30.05,247.427,,,,,,,,,
76.473,10.03,109.542,77.108,20.13,211.305,76.788,30,254.308,,,,,,,,,
76.84,10.03,110.515,77.474,20.03,197.496,77.154,30.01,254.837,,,,,,,,,
77.242,10.03,113.907,77.877,19.64,204.435,77.513,30.04,253.307,,,,,,,,,
77.631,9.98,122.702,78.241,20.17,197.227,77.889,29.96,250.867,,,,,,,,,
78.005,9.99,111.642,78.602,20.14,191.351,78.277,29.92,253.181,,,,,,,,,
78.37,9.99,115.933,78.978,20.08,207.275,78.657,29.96,250.587,,,,,,,,,
78.775,9.99,110.733,79.345,19.61,205.476,79.018,30.01,248.025,,,,,,,,,
79.141,10,113.757,79.703,20.05,207.921,79.419,29.97,251.119,,,,,,,,,
79.498,10.02,104.736,80.08,20.17,208.938,79.786,30.04,251.993,,,,,,,,,
79.902,10.02,117.114,80.445,20.17,202.186,80.145,30.05,246.062,,,,,,,,,
80.306,10,114.099,80.804,20.3,203.417,80.521,29.99,247.028,,,,,,,,,
80.693,10.01,113.64,81.18,19.81,208.709,80.925,29.97,250.431,,,,,,,,,
81.075,10.01,113.778,81.546,19.8,209.642,81.29,29.98,250.183,,,,,,,,,
81.431,10,119.479,81.905,20.07,209.136,81.65,30,250.838,,,,,,,,,
81.837,10.02,117.433,82.265,19.8,204.414,82.052,30.03,250.682,,,,,,,,,
82.203,10.01,110.525,82.632,20.16,206.408,82.457,30.09,251.617,,,,,,,,,
82.562,10.02,115.207,83.034,20.2,191.431,82.82,29.99,247.44,,,,,,,,,
82.923,10.01,114.937,83.4,19.97,194.483,83.181,30.01,250.838,,,,,,,,,
83.287,9.98,118.274,83.758,19.93,203.353,83.585,29.96,247.594,,,,,,,,,
83.691,9.97,115.11,84.148,19.7,195.358,83.987,29.94,253.268,,,,,,,,,
84.057,10,112.578,84.512,20.15,204.199,84.352,29.97,248.127,,,,,,,,,
84.416,10.01,109.275,84.916,20,195.542,84.711,29.96,248.937,,,,,,,,,
84.819,10.02,110.401,85.318,20.13,199.449,85.098,30.03,250.37,,,,,,,,,
85.206,10,116.205,85.682,19.85,192.509,85.464,30.05,250.928,,,,,,,,,
85.57,10.01,110.432,86.043,19.67,199.449,85.869,30.1,245.42,,,,,,,,,
85.975,9.98,113.682,86.432,20.04,195.111,86.271,29.99,246.917,,,,,,,,,
