10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
66.574,9.98,104.207,67.321,20.04,208.196,67.78,30,296.002,67.525,39.99,368.842,67.708,50,414.563,67.246,59.97,418.213
66.976,10.02,106.467,67.681,20.02,206.692,68.138,30.01,298.701,67.885,40.02,364.961,68.111,49.97,414.46,67.606,59.91,418.945
67.379,10,104.187,68.084,19.98,206.529,68.515,30.02,299.832,68.261,40.03,368.759,68.478,50.01,413.937,68.007,59.97,417.003
67.745,10,104.747,68.488,19.98,203.645,68.881,30.03,290.292,68.665,40.03,366.819,68.836,50.01,414.887,68.411,59.99,413.733
68.104,10,102.97,68.851,19.98,205.755,69.24,30.01,298.577,69.03,40,367.697,69.239,50.04,407.647,68.774,60.06,415.199
68.464,10.01,100.304,69.212,20.09,207.948,69.617,29.95,295.376,69.388,39.95,365.373,69.644,50.01,413.31,69.136,60.1,415.199
68.819,10,97.502,69.616,20.09,209.448,69.981,29.96,300.397,69.793,39.97,369.223,70.009,49.98,417.091,69.523,60.05,413.741
69.178,9.98,101.367,70.019,19.95,208.361,70.341,29.99,298.261,70.196,40.02,371.165,70.369,49.97,415.307,69.889,59.98,411.071
69.527,10.02,97.484,70.384,19.96,206.815,70.716,30.03,292.559,70.561,40,369.14,70.772,49.96,412.479,70.291,59.98,409.613
69.877,10.02,108.648,70.745,19.96,204.213,71.119,30,295.817,70.919,40.03,371.081,71.176,50.01,414.893,70.657,59.97,415.689
70.226,10,107.068,71.13,19.95,208.278,71.486,30.01,298.83,71.323,40.01,369.223,71.54,50.01,412.273,71.015,59.97,412.909
70.603,9.98,95.892,71.496,20.05,208.155,71.845,29.99,298.826,71.727,40,369.307,71.899,50.01,412.898,71.404,60.04,414.25
71.006,9.97,107.588,71.9,19.95,206.041,72.25,30.02,298.701,72.092,39.99,368.295,72.274,50.02,411.75,71.77,60.02,410.126
71.372,10,103.704,72.265,19.95,206.041,72.653,29.99,299.522,72.451,39.97,366.055,72.642,50,412.692,72.173,60,410.735
