10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
29.165,10,91.058,29.529,20.02,202.619,29.37,29.99,297.161,29.545,40.05,382.671,29.333,49.99,452.393,29.317,60.05,515.449
29.53,10,91.087,29.917,20,200.182,29.736,30,294.772,29.949,40.04,381.079,29.692,50,455.09,29.718,60.03,515.607
29.934,9.99,87.862,30.292,19.99,199.014,30.096,29.99,297.002,30.352,40.03,383.853,30.068,50.01,453.344,30.086,60.01,513.652
30.3,9.99,89.135,30.656,19.95,197.093,30.47,29.98,297.638,30.718,39.97,383.635,30.472,50.03,455.154,30.445,60,513.322
30.658,10,93.039,31.062,20.03,203.271,30.836,29.98,295.354,31.075,39.97,383.853,30.837,50.03,456.716,30.848,59.97,517.34
31.048,10,82.656,31.425,20.04,196.508,31.196,29.99,294.932,31.452,39.97,387.443,31.197,50.04,456.808,31.25,59.96,519.937
31.411,10,93.054,31.785,20.02,193.839,31.572,30.01,296.365,31.818,40.01,386.261,31.599,50.04,454.725,31.617,60.02,513.306
31.815,10,97.578,32.161,19.97,196.409,31.975,30.02,296.046,32.179,40.02,385.78,32.003,50.02,453.774,31.976,60.03,518.181
32.219,10,84.581,32.551,19.98,197.811,32.339,30.01,295.993,32.581,40.02,384.262,32.367,50,454.478,32.38,60.04,517.052
32.585,10,83.28,32.93,19.97,200.216,32.7,30,295.303,32.967,40.05,383.972,32.728,49.99,451.781,32.782,60.04,516.231
32.942,10,95.642,33.289,20.01,203.682,33.103,29.97,300.51,33.333,39.99,381.418,33.13,50,453.683,33.17,60,516.873
33.33,10,95.611,33.676,20.03,200.216,33.505,29.97,296.577,33.735,39.98,382.936,33.481,50.02,457.145,33.545,60,511.781
33.694,10.01,96.292,34.042,20.02,196.409,33.871,29.99,293.442,34.1,39.97,385.707,33.884,50.01,450.716,33.911,59.99,514.216
34.097,10.01,93.69,34.446,20.02,194.037,34.231,30,298.81,34.462,39.99,386.407,34.25,50,452.798,34.316,59.99,512.048
34.464,10,97.578,34.809,19.98,201.486,34.617,30,295.356,34.865,40.01,386.188,34.609,49.98,449.606,34.681,59.99,516.511
34.823,10,93.66,35.169,19.98,200.182,34.983,30,294.4,35.269,40.02,384.526,34.984,49.99,455.4,35.04,59.98,516.428
35.2,10.02,85.855,35.545,19.99,199.598,35.387,30,295.568,35.635,39.99,384.044,35.351,50.02,455.4,35.443,59.98,515.469
35.604,10.03,94.976,35.911,19.98,192.866,35.752,30,296.524,35.995,39.99,383.899,35.709,50.03,454.268,35.845,59.97,509.645
35.968,10.02,88.471,36.271,19.99,198.43,36.111,30,296.365,36.397,39.98,383.418,36.085,50.03,454.021,36.235,59.97,511.851
36.328,10.01,91.073,36.647,19.99,203.237,36.487,30,298.278,36.783,39.99,386.815,36.451,49.99,455.308,36.615,59.97,514.317
36.715,10,84.567,37.013,20.03,200.698,36.876,30,297.37,37.149,40,384.381,36.813,49.99,452.798,36.975,59.98,509.998
37.08,9.98,99.561,37.371,20.02,195.339,37.257,29.99,298.649,37.513,40.04,385.969,37.187,50,455.308,37.379,59.96,511.562
37.485,9.97,99.513,37.749,20.01,197.126,37.616,29.99,295.886,37.873,40.05,387.223,37.591,50,455.125,37.744,59.96,509.293
37.847,9.98,87.198,38.138,19.96,201.933,38.02,30.01,295.939,38.233,40.02,384.117,37.957,50.02,452.798,38.104,59.98,509.226
38.211,10,86.505,38.518,19.98,200.834,38.423,30.03,295.143,38.599,39.97,385.707,38.316,50.01,451.822,38.479,59.97,508.632
38.612,10.01,89.078,38.878,19.98,196.608,38.787,30.03,297.747,39.002,39.97,386.188,38.702,50,454.268,38.882,59.97,513.617
39,10.01,100.212,39.278,20,195.924,39.146,30,296.417,39.391,39.97,381.274,39.068,50,455.37,39.254,59.98,512.689
39.364,10,92.344,39.683,20,203.547,39.496,30,294.136,39.765,39.99,384.453,39.471,50.01,454.085,39.608,60,510.425
39.767,10,100.863,40.049,20,196.442,39.895,30,295.993,40.132,40.01,381.467,39.838,50.02,454.33,40.011,60.01,511.984
40.131,10,95.006,40.408,20.02,195.107,40.278,30,297.48,40.534,40.05,385.896,40.197,50,452.069,40.394,60.01,512.615
40.494,9.99,94.976,40.795,20.04,194.622,40.656,29.98,298.912,40.9,40.04,382.719,40.601,50,453.382,40.79,60.01,511.428
40.88,10,97.594,41.16,19.99,199.564,41.056,29.99,296.47,41.258,39.99,380.985,40.987,50,449.471,41.195,59.99,505.534
41.245,9.99,96.246,41.563,20.01,203.34,41.422,29.98,296.47,41.661,39.99,381.611,41.351,49.99,455.462,41.56,59.99,505.315
41.649,9.99,97.625,41.953,19.99,194.135,41.787,29.99,299.711,42.064,39.98,381.828,41.756,50.01,454.147,41.92,60,508.536
42.013,9.99,94.371,42.332,20,200.868,42.185,29.99,295.94,42.43,39.97,381.202,42.12,50.01,450.939,42.322,59.98,505.948
42.374,10.01,97.578,42.691,19.97,200.868,42.57,29.99,295.09,42.789,39.96,379.734,42.481,49.99,453.719,42.725,59.97,509.539
42.749,10,86.575,43.079,19.99,200.182,42.935,30,299.448,43.166,40.01,384.381,42.883,49.97,453.993,43.09,59.99,510.391
43.115,10.01,83.944,43.444,20,201.418,43.302,30,295.621,43.554,40.04,381.539,43.271,49.99,454.392,43.45,59.98,511.021
